"age","ageMarried","monthsSinceM","pregnancies","children","sons","region","literacy"
38,"22to25",199,8,8,6,"lt10k","yes"
40,"25to30",168,5,5,1,"lt10k","no"
44,"25to30",229,5,5,2,"lt10k","no"
27,"20to22",80,2,2,0,"lt10k","yes"
46,"20to22",303,9,10,2,"lt10k","no"
36,"22to25",172,3,3,1,"lt10k","yes"
34,"25to30",106,4,4,1,"lt10k","yes"
34,"22to25",140,2,2,0,"lt10k","yes"
28,"20to22",103,4,4,2,"lt10k","yes"
49,"25to30",270,5,5,3,"lt10k","yes"
23,"20to22",36,1,1,1,"lt10k","yes"
34,"20to22",157,4,4,2,"lt10k","yes"
22,"20to22",28,2,1,1,"lt10k","yes"
37,"22to25",166,5,5,1,"lt10k","yes"
20,"18to20",8,1,0,0,"lt10k","yes"
30,"20to22",113,2,2,1,"lt10k","yes"
36,"20to22",189,6,6,2,"lt10k","yes"
25,"22to25",20,2,2,0,"lt10k","yes"
18,"15to18",15,0,0,0,"lt10k","yes"
38,"20to22",204,2,2,1,"lt10k","yes"
41,"22to25",202,4,4,3,"lt10k","no"
48,"22to25",281,2,2,1,"lt10k","yes"
31,"15to18",177,2,2,0,"lt10k","yes"
44,"20to22",292,2,2,1,"lt10k","no"
33,"25to30",90,3,3,3,"lt10k","yes"
29,"20to22",116,3,3,2,"lt10k","yes"
24,"20to22",44,2,2,1,"lt10k","yes"
39,"20to22",228,2,2,1,"lt10k","yes"
28,"15to18",130,0,0,0,"lt10k","yes"
45,"25to30",233,6,6,4,"lt10k","yes"
29,"15to18",138,2,2,1,"lt10k","yes"
25,"20to22",53,2,2,2,"lt10k","yes"
30,"25to30",52,2,1,0,"lt10k","yes"
27,"20to22",72,1,1,1,"lt10k","yes"
41,"20to22",251,2,2,2,"lt10k","yes"
39,"22to25",198,1,1,0,"lt10k","yes"
23,"20to22",19,0,0,0,"lt10k","yes"
29,"22to25",78,1,1,1,"lt10k","yes"
42,"25to30",188,2,2,0,"lt10k","yes"
30,"22to25",88,0,0,0,"lt10k","yes"
39,"25to30",162,0,0,0,"lt10k","yes"
34,"18to20",183,4,4,1,"lt10k","yes"
34,"22to25",132,1,1,1,"lt10k","yes"
29,"25to30",32,1,1,1,"lt10k","yes"
25,"22to25",17,1,1,1,"lt10k","yes"
48,"20to22",328,11,11,3,"lt10k","yes"
26,"20to22",79,2,2,1,"lt10k","yes"
29,"25to30",56,2,2,1,"lt10k","yes"
43,"30toInf",86,1,1,0,"lt10k","yes"
19,"18to20",14,1,0,0,"lt10k","yes"
21,"20to22",13,1,1,0,"lt10k","yes"
40,"22to25",198,5,5,2,"lt10k","yes"
35,"22to25",140,2,2,1,"lt10k","yes"
28,"22to25",67,1,1,0,"lt10k","yes"
34,"20to22",153,3,3,1,"lt10k","yes"
28,"22to25",60,1,1,0,"lt10k","yes"
46,"18to20",164,4,4,2,"lt10k","yes"
25,"20to22",48,1,1,1,"lt10k","yes"
49,"22to25",320,0,0,0,"lt10k","yes"
37,"18to20",221,4,5,1,"lt10k","no"
38,"15to18",262,6,6,3,"lt10k","yes"
29,"22to25",91,2,1,1,"lt10k","yes"
32,"25to30",92,2,2,1,"lt10k","yes"
32,"18to20",161,3,3,1,"lt10k","yes"
27,"18to20",92,4,4,0,"lt10k","yes"
16,"15to18",5,1,0,0,"lt10k","yes"
43,"22to25",255,4,4,3,"lt10k","no"
43,"22to25",235,8,8,4,"lt10k","no"
39,"22to25",191,7,7,4,"lt10k","yes"
39,"22to25",213,8,8,3,"lt10k","yes"
22,"20to22",15,1,0,0,"lt10k","yes"
48,"22to25",297,6,6,3,"lt10k","yes"
27,"18to20",94,2,2,2,"lt10k","yes"
39,"22to25",186,4,4,3,"lt10k","yes"
36,"30toInf",2,0,0,0,"lt10k","yes"
33,"25to30",96,1,1,0,"lt10k","yes"
20,"18to20",14,1,1,1,"lt10k","yes"
38,"18to20",235,9,9,5,"lt10k","yes"
36,"20to22",187,6,6,5,"lt10k","yes"
37,"20to22",199,4,4,2,"lt10k","no"
40,"15to18",283,13,13,4,"lt10k","yes"
32,"18to20",159,4,4,3,"lt10k","yes"
38,"25to30",116,2,2,1,"lt10k","yes"
21,"20to22",4,1,0,0,"lt10k","yes"
33,"25to30",83,2,2,0,"lt10k","yes"
44,"22to25",274,2,2,2,"lt10k","yes"
29,"20to22",112,5,5,1,"lt10k","yes"
29,"15to18",142,3,3,1,"lt10k","yes"
28,"22to25",78,3,3,2,"lt10k","yes"
48,"18to20",355,16,17,6,"lt10k","no"
24,"15to18",87,2,3,0,"lt10k","yes"
31,"22to25",97,3,3,2,"lt10k","yes"
48,"22to25",318,8,8,2,"lt10k","yes"
20,"18to20",16,1,1,0,"lt10k","yes"
42,"20to22",252,5,5,4,"lt10k","yes"
26,"18to20",83,2,2,0,"lt10k","yes"
39,"18to20",249,12,13,6,"lt10k","no"
28,"18to20",108,3,3,2,"lt10k","yes"
22,"22to25",4,0,0,0,"lt10k","yes"
23,"18to20",46,1,1,1,"lt10k","yes"
26,"22to25",19,0,0,0,"lt10k","yes"
22,"20to22",11,1,0,0,"lt10k","yes"
25,"18to20",74,1,1,0,"lt10k","yes"
44,"20to22",286,8,8,4,"lt10k","no"
42,"25to30",208,2,2,1,"lt10k","yes"
31,"20to22",115,2,2,1,"lt10k","yes"
26,"22to25",27,1,1,1,"lt10k","yes"
40,"25to30",168,2,2,1,"lt10k","no"
21,"18to20",45,1,1,1,"lt10k","yes"
43,"20to22",269,3,3,3,"lt10k","yes"
31,"15to18",170,2,2,1,"lt10k","yes"
40,"25to30",152,4,4,2,"lt10k","yes"
46,"18to20",334,2,2,1,"lt10k","no"
39,"15to18",282,2,2,1,"lt10k","yes"
40,"18to20",261,2,2,2,"lt10k","yes"
43,"20to22",188,7,7,1,"lt10k","yes"
18,"15to18",10,1,0,0,"lt10k","yes"
19,"15to18",33,1,1,0,"lt10k","yes"
26,"22to25",51,1,1,0,"10-20k","yes"
22,"18to20",34,1,1,0,"10-20k","yes"
34,"22to25",139,2,2,1,"10-20k","yes"
31,"22to25",110,2,2,2,"10-20k","yes"
33,"22to25",118,2,2,1,"10-20k","yes"
49,"22to25",305,4,4,2,"10-20k","no"
34,"18to20",196,3,3,0,"10-20k","yes"
29,"20to22",101,2,2,2,"10-20k","yes"
27,"22to25",28,2,1,1,"10-20k","yes"
26,"18to20",101,2,1,1,"10-20k","yes"
44,"20to22",291,3,3,1,"10-20k","yes"
39,"25to30",159,3,3,1,"10-20k","yes"
32,"20to22",125,2,2,2,"10-20k","yes"
39,"25to30",163,1,1,0,"10-20k","yes"
34,"30toInf",37,2,2,0,"10-20k","yes"
31,"18to20",166,2,2,0,"20k+","yes"
28,"22to25",70,2,1,1,"20k+","yes"
33,"25to30",82,2,2,1,"20k+","yes"
25,"20to22",49,2,2,0,"20k+","yes"
34,"22to25",126,2,2,2,"20k+","yes"
47,"15to18",352,2,2,0,"20k+","yes"
43,"20to22",260,3,3,3,"20k+","no"
44,"22to25",257,2,2,2,"20k+","yes"
26,"20to22",67,1,1,0,"20k+","yes"
22,"15to18",75,1,1,0,"20k+","yes"
34,"22to25",129,2,2,2,"20k+","yes"
36,"18to20",208,2,2,2,"20k+","yes"
49,"20to22",348,10,10,4,"20k+","yes"
28,"15to18",156,0,0,0,"20k+","yes"
46,"25to30",231,3,4,4,"20k+","yes"
39,"22to25",192,2,2,2,"20k+","yes"
35,"20to22",165,3,3,2,"20k+","yes"
49,"15to18",375,3,3,1,"20k+","no"
23,"15to18",99,2,2,2,"20k+","yes"
33,"30toInf",28,1,0,0,"20k+","yes"
48,"20to22",247,2,2,2,"20k+","yes"
44,"25to30",196,2,2,2,"20k+","no"
33,"22to25",119,3,3,2,"lt10k","yes"
33,"25to30",63,2,2,0,"lt10k","yes"
26,"22to25",39,1,2,2,"lt10k","yes"
37,"30toInf",85,2,2,0,"lt10k","yes"
23,"20to22",26,1,1,0,"lt10k","yes"
49,"20to22",345,10,11,5,"lt10k","no"
32,"22to25",100,3,3,1,"lt10k","yes"
28,"25to30",42,2,1,1,"lt10k","yes"
32,"18to20",164,2,2,1,"lt10k","yes"
20,"18to20",10,1,0,0,"lt10k","yes"
49,"22to25",314,4,4,3,"lt10k","yes"
22,"18to20",48,2,1,1,"lt10k","yes"
22,"20to22",34,2,2,2,"lt10k","yes"
22,"18to20",53,1,1,0,"lt10k","yes"
28,"22to25",68,2,2,2,"lt10k","yes"
46,"25to30",221,5,5,2,"lt10k","yes"
49,"20to22",330,12,12,9,"lt10k","no"
39,"25to30",165,1,1,1,"lt10k","yes"
42,"20to22",250,5,5,1,"lt10k","yes"
35,"25to30",114,4,4,3,"lt10k","yes"
40,"20to22",249,6,6,4,"lt10k","yes"
43,"25to30",199,6,7,4,"lt10k","no"
42,"25to30",209,5,5,1,"lt10k","yes"
38,"20to22",215,11,10,6,"lt10k","no"
48,"22to25",301,8,9,6,"lt10k","no"
28,"25to30",29,1,1,1,"lt10k","yes"
29,"20to22",110,2,2,1,"lt10k","yes"
29,"20to22",101,2,2,1,"lt10k","yes"
22,"20to22",24,1,1,1,"lt10k","yes"
24,"20to22",37,2,2,1,"lt10k","yes"
30,"22to25",71,3,2,2,"lt10k","yes"
46,"18to20",323,8,8,3,"lt10k","yes"
47,"25to30",258,11,11,7,"lt10k","yes"
32,"30toInf",24,0,0,0,"lt10k","yes"
35,"18to20",189,9,8,4,"lt10k","yes"
48,"18to20",351,7,7,3,"lt10k","yes"
48,"30toInf",140,1,1,0,"lt10k","yes"
43,"25to30",199,3,3,2,"lt10k","yes"
46,"25to30",251,5,5,2,"lt10k","no"
36,"25to30",114,4,4,3,"lt10k","yes"
28,"25to30",16,1,1,1,"lt10k","yes"
38,"30toInf",51,1,1,1,"lt10k","yes"
36,"22to25",168,6,6,3,"lt10k","yes"
49,"25to30",283,9,9,5,"lt10k","no"
37,"25to30",145,2,2,2,"lt10k","yes"
44,"25to30",225,5,5,4,"lt10k","yes"
43,"22to25",234,6,6,3,"lt10k","yes"
22,"18to20",44,2,2,2,"lt10k","yes"
33,"25to30",94,2,2,2,"lt10k","yes"
43,"20to22",270,2,2,2,"lt10k","yes"
17,"15to18",8,1,1,0,"lt10k","yes"
42,"22to25",239,3,3,2,"lt10k","yes"
28,"22to25",69,2,2,1,"lt10k","yes"
34,"30toInf",11,1,1,1,"lt10k","yes"
32,"25to30",54,1,1,1,"porto","yes"
48,"22to25",311,3,3,1,"porto","yes"
29,"25to30",19,1,1,1,"porto","yes"
22,"18to20",57,1,1,1,"porto","yes"
39,"25to30",175,2,2,0,"porto","yes"
45,"15to18",350,9,9,2,"porto","yes"
21,"20to22",6,1,0,0,"porto","yes"
48,"30toInf",192,2,2,2,"porto","yes"
44,"22to25",154,2,2,1,"porto","yes"
31,"25to30",38,1,1,1,"porto","yes"
41,"18to20",271,1,1,1,"porto","yes"
26,"20to22",63,2,2,2,"porto","yes"
33,"25to30",29,1,1,1,"porto","yes"
20,"18to20",14,1,1,1,"porto","yes"
47,"20to22",329,1,1,1,"porto","yes"
29,"20to22",101,2,2,1,"porto","yes"
32,"22to25",124,2,2,1,"porto","yes"
42,"22to25",219,1,1,0,"porto","yes"
26,"22to25",48,1,1,0,"porto","yes"
22,"18to20",44,2,2,1,"porto","yes"
44,"22to25",261,2,2,2,"porto","no"
48,"25to30",278,4,4,3,"porto","yes"
44,"25to30",218,3,3,1,"porto","yes"
28,"20to22",89,3,2,1,"porto","yes"
31,"20to22",116,2,2,2,"porto","yes"
44,"25to30",193,6,6,2,"porto","no"
36,"30toInf",65,1,1,1,"porto","no"
28,"22to25",62,2,2,0,"porto","yes"
30,"20to22",113,2,2,0,"porto","yes"
45,"25to30",239,2,2,1,"porto","yes"
38,"25to30",144,1,1,1,"porto","yes"
39,"22to25",186,2,2,1,"porto","no"
45,"25to30",226,2,2,1,"porto","yes"
44,"22to25",230,1,2,2,"porto","yes"
43,"20to22",217,3,3,1,"porto","yes"
38,"22to25",166,2,2,2,"porto","yes"
30,"15to18",158,3,3,2,"porto","yes"
26,"25to30",11,0,0,0,"porto","yes"
26,"15to18",140,2,2,2,"porto","yes"
29,"18to20",125,2,2,0,"porto","yes"
21,"18to20",35,0,0,0,"porto","yes"
42,"25to30",209,3,3,3,"porto","yes"
25,"18to20",65,1,1,1,"porto","yes"
35,"22to25",134,3,2,0,"porto","yes"
36,"18to20",212,4,4,1,"porto","yes"
36,"20to22",150,4,4,3,"porto","yes"
30,"20to22",106,2,2,1,"porto","yes"
38,"25to30",144,1,1,0,"porto","yes"
26,"25to30",6,1,0,0,"porto","yes"
45,"22to25",265,5,5,1,"porto","no"
42,"22to25",243,3,3,1,"porto","no"
39,"18to20",238,2,2,1,"porto","yes"
49,"25to30",129,1,1,1,"porto","yes"
44,"25to30",177,2,2,1,"porto","yes"
46,"25to30",239,2,2,1,"porto","yes"
47,"20to22",313,2,2,1,"porto","yes"
36,"22to25",143,3,3,1,"porto","yes"
33,"18to20",170,3,3,2,"porto","yes"
28,"25to30",35,1,1,0,"porto","yes"
28,"20to22",76,2,2,0,"porto","yes"
47,"22to25",298,3,3,2,"porto","yes"
29,"20to22",97,1,1,0,"porto","yes"
37,"25to30",123,2,2,1,"porto","yes"
32,"18to20",174,3,3,0,"porto","yes"
45,"22to25",251,0,0,0,"porto","yes"
44,"25to30",197,1,1,1,"porto","yes"
25,"22to25",42,1,1,1,"lt10k","yes"
30,"25to30",35,1,1,1,"porto","yes"
39,"22to25",208,1,1,0,"porto","yes"
40,"20to22",238,3,3,1,"porto","yes"
35,"18to20",184,4,4,2,"porto","yes"
30,"22to25",91,2,2,1,"porto","yes"
40,"25to30",144,2,2,0,"porto","yes"
43,"22to25",231,0,0,0,"porto","yes"
25,"20to22",51,2,2,1,"porto","yes"
25,"15to18",122,0,0,0,"porto","yes"
29,"22to25",64,1,1,1,"porto","yes"
44,"30toInf",140,3,3,1,"porto","yes"
39,"20to22",222,4,4,3,"porto","yes"
41,"18to20",270,1,1,1,"porto","yes"
34,"25to30",84,2,2,0,"porto","yes"
44,"25to30",207,5,5,3,"porto","no"
25,"20to22",59,2,2,2,"porto","yes"
24,"20to22",42,2,2,1,"porto","yes"
31,"30toInf",16,0,0,0,"porto","yes"
49,"20to22",338,1,1,0,"porto","no"
26,"20to22",60,1,1,1,"porto","yes"
35,"25to30",83,2,2,1,"porto","yes"
42,"20to22",267,4,4,3,"porto","yes"
26,"22to25",35,1,1,0,"porto","yes"
30,"20to22",109,1,1,1,"porto","yes"
42,"22to25",218,2,2,1,"porto","yes"
17,"15to18",2,0,0,0,"porto","yes"
35,"22to25",129,2,2,2,"porto","yes"
36,"20to22",190,3,3,2,"porto","yes"
47,"18to20",347,3,3,2,"porto","yes"
33,"22to25",129,1,1,1,"porto","yes"
31,"15to18",167,4,4,3,"porto","yes"
33,"20to22",147,1,1,1,"porto","yes"
30,"22to25",91,3,3,0,"porto","yes"
37,"25to30",135,2,2,2,"porto","yes"
25,"18to20",83,2,2,2,"porto","yes"
31,"22to25",92,1,1,1,"porto","yes"
40,"18to20",246,3,3,1,"porto","yes"
45,"22to25",276,4,4,2,"porto","yes"
28,"20to22",85,2,2,0,"porto","yes"
38,"22to25",186,2,2,1,"porto","yes"
49,"25to30",264,6,6,4,"porto","yes"
45,"22to25",272,2,2,2,"porto","yes"
33,"15to18",195,3,3,2,"porto","yes"
35,"22to25",159,0,0,0,"porto","yes"
35,"22to25",147,2,2,1,"porto","yes"
41,"22to25",221,1,1,0,"porto","yes"
32,"22to25",117,4,4,2,"porto","yes"
49,"25to30",255,6,6,2,"porto","yes"
31,"25to30",34,2,1,1,"porto","yes"
35,"25to30",97,0,0,0,"porto","yes"
38,"25to30",130,2,2,1,"porto","yes"
49,"25to30",264,6,6,4,"porto","yes"
44,"18to20",295,3,3,3,"porto","yes"
39,"30toInf",108,2,2,2,"porto","yes"
28,"0to15",160,3,3,0,"porto","yes"
22,"18to20",12,1,1,1,"porto","yes"
33,"20to22",147,3,3,2,"porto","yes"
42,"25to30",181,4,4,1,"porto","yes"
41,"20to22",234,2,2,1,"porto","yes"
45,"18to20",327,8,8,5,"porto","yes"
47,"20to22",327,6,6,4,"porto","yes"
25,"22to25",20,1,1,1,"porto","yes"
45,"15to18",340,5,5,2,"porto","no"
36,"25to30",138,2,2,0,"porto","yes"
39,"20to22",222,2,2,0,"porto","yes"
46,"20to22",299,3,3,2,"porto","no"
47,"25to30",265,2,2,1,"porto","yes"
49,"22to25",293,2,2,1,"porto","yes"
27,"25to30",7,1,0,0,"porto","yes"
25,"20to22",55,2,2,2,"porto","yes"
49,"25to30",272,2,2,0,"porto","yes"
46,"25to30",244,2,2,0,"porto","yes"
36,"15to18",220,3,3,2,"porto","yes"
34,"20to22",167,2,2,1,"porto","yes"
48,"22to25",296,2,2,1,"porto","yes"
21,"20to22",3,0,0,0,"porto","yes"
45,"22to25",244,2,2,1,"porto","yes"
28,"25to30",25,1,1,0,"porto","yes"
40,"18to20",252,2,2,1,"porto","yes"
34,"22to25",124,2,2,0,"porto","yes"
47,"25to30",236,4,4,3,"porto","yes"
38,"22to25",176,1,1,1,"porto","yes"
40,"22to25",226,7,7,3,"porto","no"
45,"22to25",267,3,4,3,"porto","yes"
36,"20to22",181,0,0,0,"porto","yes"
40,"20to22",52,5,5,3,"porto","yes"
34,"15to18",204,5,5,3,"porto","yes"
34,"20to22",173,1,1,1,"porto","yes"
29,"15to18",169,4,4,2,"porto","yes"
41,"20to22",153,5,5,1,"porto","yes"
41,"22to25",231,3,3,2,"porto","no"
49,"0to15",418,5,5,2,"porto","no"
21,"18to20",38,1,1,0,"porto","yes"
46,"25to30",238,6,6,2,"porto","no"
29,"20to22",107,3,3,2,"lt10k","yes"
20,"15to18",40,0,0,0,"lt10k","yes"
35,"22to25",127,3,3,0,"lt10k","yes"
47,"25to30",256,7,7,6,"lt10k","yes"
41,"22to25",202,9,8,5,"lt10k","yes"
25,"22to25",36,2,2,2,"lt10k","yes"
21,"18to20",39,1,1,1,"lt10k","yes"
48,"22to25",201,6,6,3,"lt10k","yes"
35,"25to30",101,3,3,1,"lt10k","yes"
35,"25to30",90,1,1,0,"lt10k","yes"
31,"20to22",129,5,5,4,"lt10k","yes"
27,"22to25",64,0,0,0,"lt10k","yes"
25,"20to22",57,3,2,1,"lt10k","yes"
46,"22to25",284,3,3,2,"lt10k","yes"
26,"20to22",57,2,2,2,"lt10k","yes"
31,"25to30",49,1,1,0,"lt10k","yes"
49,"20to22",344,6,6,2,"lt10k","yes"
25,"22to25",35,1,1,1,"lt10k","yes"
31,"25to30",51,3,3,1,"lt10k","yes"
43,"22to25",229,2,2,1,"lt10k","yes"
43,"25to30",221,1,1,0,"lt10k","no"
28,"22to25",51,2,1,1,"lt10k","yes"
35,"22to25",156,2,2,0,"lt10k","yes"
28,"20to22",80,2,2,1,"lt10k","yes"
38,"22to25",160,2,2,2,"lt10k","yes"
22,"18to20",39,1,1,1,"lt10k","yes"
32,"18to20",164,1,1,0,"lt10k","yes"
25,"22to25",11,0,0,0,"lt10k","yes"
31,"22to25",88,1,1,0,"lt10k","yes"
28,"20to22",95,3,3,3,"lt10k","yes"
48,"25to30",263,5,5,3,"lt10k","yes"
47,"25to30",222,5,5,2,"lt10k","yes"
25,"22to25",40,1,1,0,"lt10k","yes"
28,"20to22",75,2,2,0,"lt10k","yes"
28,"22to25",54,2,2,1,"lt10k","yes"
31,"20to22",134,2,2,1,"lt10k","yes"
37,"20to22",202,2,2,1,"lt10k","yes"
28,"22to25",52,1,1,1,"lt10k","yes"
26,"22to25",23,2,1,0,"lt10k","yes"
41,"22to25",234,2,2,2,"lt10k","yes"
36,"25to30",135,4,4,1,"lt10k","yes"
45,"22to25",266,4,4,1,"lt10k","yes"
24,"20to22",42,1,1,0,"lt10k","yes"
24,"22to25",3,1,0,0,"lt10k","yes"
29,"25to30",36,1,1,0,"lt10k","yes"
19,"18to20",15,0,0,0,"lt10k","yes"
43,"22to25",256,4,4,3,"lt10k","yes"
44,"20to22",268,5,5,4,"lt10k","yes"
48,"22to25",295,4,4,1,"lt10k","yes"
27,"22to25",51,1,1,1,"lt10k","yes"
45,"20to22",290,2,2,0,"lt10k","yes"
30,"25to30",52,1,1,1,"lt10k","yes"
34,"25to30",104,3,2,2,"lt10k","yes"
49,"20to22",356,6,6,3,"lt10k","yes"
27,"20to22",68,1,1,0,"lt10k","yes"
34,"25to30",86,1,1,1,"lt10k","yes"
47,"25to30",243,2,2,1,"lt10k","no"
30,"20to22",111,1,1,0,"lt10k","yes"
26,"22to25",29,0,0,0,"lt10k","yes"
21,"18to20",36,1,1,1,"lt10k","yes"
41,"22to25",234,6,6,3,"lt10k","yes"
32,"22to25",102,2,2,2,"lt10k","yes"
33,"25to30",91,3,3,1,"lt10k","yes"
27,"15to18",121,3,3,1,"lt10k","yes"
31,"25to30",60,1,1,1,"lt10k","yes"
30,"15to18",170,3,3,2,"lt10k","yes"
31,"22to25",84,2,2,1,"lt10k","yes"
39,"22to25",197,3,3,2,"lt10k","yes"
38,"25to30",139,3,3,3,"lt10k","yes"
44,"18to20",312,2,2,1,"lt10k","no"
44,"30toInf",151,2,2,2,"lt10k","no"
46,"20to22",300,9,10,8,"lt10k","no"
44,"22to25",260,4,4,2,"lt10k","yes"
40,"22to25",177,2,3,1,"lt10k","yes"
37,"18to20",216,3,3,2,"lt10k","yes"
23,"22to25",3,1,0,0,"lt10k","yes"
40,"15to18",278,6,6,2,"lt10k","no"
35,"22to25",156,4,4,1,"lt10k","yes"
33,"20to22",154,3,3,2,"lt10k","yes"
49,"22to25",301,6,6,4,"lt10k","no"
26,"20to22",74,2,1,1,"lt10k","yes"
48,"22to25",305,13,13,8,"lt10k","no"
32,"22to25",86,3,3,3,"lt10k","yes"
45,"18to20",263,7,7,4,"lt10k","no"
20,"20to22",0,0,0,0,"lt10k","yes"
39,"20to22",230,4,4,2,"lt10k","yes"
27,"22to25",49,3,2,2,"lt10k","yes"
38,"22to25",174,2,2,2,"lt10k","yes"
37,"22to25",160,2,2,1,"lt10k","yes"
40,"25to30",127,0,0,0,"lt10k","yes"
33,"25to30",43,1,1,1,"lt10k","yes"
40,"25to30",174,2,2,1,"lt10k","yes"
42,"22to25",218,3,3,1,"lt10k","yes"
39,"18to20",235,2,2,1,"lt10k","yes"
30,"25to30",52,1,1,1,"lt10k","yes"
38,"30toInf",47,1,1,0,"lt10k","yes"
36,"22to25",146,2,2,0,"lt10k","yes"
27,"20to22",86,1,1,0,"lt10k","yes"
40,"18to20",52,1,1,0,"10-20k","yes"
23,"20to22",25,1,1,1,"10-20k","yes"
38,"25to30",138,1,1,1,"10-20k","yes"
30,"20to22",111,2,2,0,"10-20k","yes"
40,"20to22",237,2,2,1,"10-20k","yes"
32,"18to20",178,3,3,2,"10-20k","yes"
29,"20to22",102,2,2,1,"10-20k","yes"
23,"18to20",49,3,3,1,"10-20k","yes"
44,"15to18",297,4,4,1,"10-20k","yes"
38,"25to30",161,3,3,2,"10-20k","yes"
29,"22to25",94,1,1,0,"10-20k","yes"
34,"22to25",142,2,2,0,"10-20k","yes"
20,"18to20",6,0,0,0,"10-20k","yes"
31,"25to30",29,1,1,1,"10-20k","yes"
30,"22to25",62,2,2,0,"10-20k","yes"
49,"20to22",350,3,3,1,"10-20k","yes"
27,"18to20",99,1,1,0,"lt10k","yes"
34,"25to30",111,2,2,1,"lt10k","yes"
22,"15to18",55,1,1,0,"lt10k","yes"
42,"25to30",180,3,3,1,"lt10k","yes"
31,"25to30",79,1,1,0,"lt10k","yes"
41,"25to30",161,4,4,1,"lt10k","yes"
22,"18to20",27,1,0,0,"lt10k","yes"
43,"18to20",301,1,1,0,"lt10k","yes"
20,"18to20",10,0,0,0,"lt10k","yes"
37,"25to30",134,3,3,3,"lt10k","yes"
27,"22to25",48,1,1,0,"lt10k","yes"
35,"22to25",131,2,2,1,"lt10k","yes"
48,"22to25",187,2,2,1,"lt10k","yes"
30,"22to25",71,2,2,0,"lt10k","yes"
35,"25to30",107,0,0,0,"lt10k","yes"
38,"25to30",110,2,2,1,"lt10k","yes"
26,"22to25",42,1,1,1,"lt10k","yes"
48,"15to18",396,2,2,1,"lt10k","yes"
40,"20to22",248,2,2,2,"10-20k","yes"
35,"25to30",86,1,1,0,"10-20k","yes"
37,"25to30",140,0,0,0,"10-20k","yes"
27,"22to25",65,2,2,1,"lt10k","yes"
20,"18to20",16,1,1,1,"lt10k","yes"
43,"30toInf",162,3,3,2,"lt10k","yes"
35,"25to30",101,4,5,3,"lt10k","yes"
37,"20to22",199,8,8,4,"lt10k","yes"
42,"20to22",259,6,6,3,"lt10k","no"
26,"22to25",43,0,0,0,"lt10k","yes"
46,"22to25",290,9,9,4,"lt10k","yes"
44,"22to25",245,4,4,1,"lt10k","yes"
37,"22to25",180,1,1,1,"lt10k","yes"
44,"25to30",184,1,1,1,"lt10k","yes"
44,"25to30",202,3,3,2,"lt10k","no"
43,"25to30",210,4,4,3,"lt10k","yes"
36,"22to25",174,2,2,0,"lt10k","yes"
46,"25to30",239,3,3,1,"lt10k","yes"
42,"20to22",258,3,3,1,"lt10k","yes"
38,"18to20",224,5,6,4,"lt10k","yes"
39,"25to30",177,1,1,1,"lt10k","yes"
47,"22to25",300,6,6,3,"lt10k","no"
32,"22to25",103,2,2,2,"lt10k","yes"
32,"18to20",158,4,4,4,"lt10k","yes"
35,"25to30",120,2,2,0,"lt10k","yes"
19,"18to20",15,1,1,1,"lt10k","yes"
45,"22to25",260,2,2,2,"10-20k","yes"
27,"18to20",97,2,2,1,"10-20k","yes"
33,"18to20",180,3,3,1,"10-20k","yes"
38,"18to20",234,4,4,3,"10-20k","no"
34,"22to25",142,3,3,2,"10-20k","no"
48,"25to30",277,2,2,1,"10-20k","yes"
45,"22to25",274,1,1,0,"10-20k","yes"
23,"20to22",20,1,1,1,"10-20k","yes"
40,"20to22",221,7,8,7,"10-20k","yes"
47,"15to18",355,7,7,2,"10-20k","yes"
45,"20to22",291,2,2,1,"10-20k","yes"
21,"18to20",23,1,1,1,"10-20k","yes"
28,"22to25",63,2,2,2,"10-20k","yes"
44,"25to30",194,2,2,1,"10-20k","yes"
37,"20to22",147,5,5,2,"10-20k","yes"
27,"22to25",36,1,1,0,"10-20k","yes"
27,"18to20",92,3,3,3,"10-20k","yes"
40,"18to20",250,5,5,3,"10-20k","yes"
31,"18to20",158,3,3,2,"10-20k","yes"
49,"22to25",57,1,1,1,"10-20k","yes"
27,"18to20",105,2,2,1,"10-20k","yes"
25,"18to20",74,2,2,2,"10-20k","yes"
25,"20to22",51,2,2,2,"10-20k","yes"
47,"18to20",248,8,8,4,"10-20k","no"
45,"22to25",246,3,3,3,"10-20k","yes"
44,"15to18",335,6,6,3,"lt10k","yes"
17,"0to15",40,2,2,1,"lt10k","yes"
28,"22to25",49,2,2,1,"lt10k","yes"
34,"15to18",194,2,2,1,"lt10k","yes"
30,"22to25",101,1,1,1,"lt10k","yes"
48,"22to25",284,3,3,3,"lt10k","yes"
37,"25to30",146,1,1,1,"lt10k","yes"
30,"25to30",42,1,1,0,"lt10k","yes"
49,"18to20",355,2,2,1,"lt10k","yes"
46,"25to30",259,2,2,2,"lt10k","yes"
49,"22to25",303,3,3,2,"lt10k","yes"
24,"20to22",42,1,1,0,"lt10k","yes"
43,"18to20",213,4,4,2,"lt10k","yes"
22,"20to22",14,1,0,0,"lt10k","yes"
44,"18to20",304,3,3,3,"lt10k","yes"
42,"22to25",238,4,4,1,"lt10k","no"
49,"18to20",319,3,3,3,"lt10k","yes"
34,"22to25",120,2,2,2,"lt10k","yes"
41,"18to20",278,5,5,5,"lt10k","yes"
48,"22to25",303,4,4,0,"lt10k","yes"
